Date,AMAT,AXON,DECK,DXCM,ENPH,EPAM,ETSY,FTNT,GNRC,LRCX,MTCH,ON,PODD,RMD,TSLA
2017-01-03,29.370004653930664,24.579999923706055,57.5099983215332,14.5625,1.0499999523162842,63.65999984741211,11.880000114440918,6.02400016784668,41.939998626708984,96.20182800292969,16.4940128326416,12.6899995803833,37.349998474121094,56.989261627197266,14.465999603271484
2017-01-04,29.645862579345703,24.850000381469727,58.119998931884766,15.180000305175781,1.149999976158142,64.36000061035156,11.970000267028809,6.084000110626221,42.0,96.25560760498047,16.455944061279297,13.0,37.599998474121094,57.35723876953125,15.13266658782959
2017-01-05,29.51712417602539,24.68000030517578,57.810001373291016,15.664999961853027,1.1200000047683716,64.75,12.399999618530273,6.165999889373779,41.119998931884766,96.0403823852539,17.122175216674805,12.850000381469727,36.97999954223633,56.915679931640625,15.116666793823242
2017-01-06,29.461959838867188,24.549999237060547,57.33000183105469,15.807499885559082,1.1100000143051147,66.87000274658203,13.079999923706055,6.202000141143799,40.709999084472656,96.50675964355469,17.160245895385742,13.010000228881836,37.900001525878906,57.164058685302734,15.267333030700684
2017-01-09,30.142414093017578,24.270000457763672,58.31999969482422,15.6225004196167,1.1100000143051147,66.83999633789062,12.350000381469727,6.26200008392334,40.290000915527344,97.63687896728516,17.274456024169922,13.34000015258789,38.290000915527344,58.19437026977539,15.41866683959961
2017-01-10,30.464258193969727,24.6299991607666,59.70000076293945,16.760000228881836,1.1299999952316284,66.94999694824219,12.770000457763672,6.392000198364258,40.779998779296875,97.28707122802734,17.39818572998047,13.449999809265137,41.20000076293945,59.1050910949707,15.324666976928711
2017-01-11,30.776893615722656,24.6299991607666,58.650001525878906,17.25749969482422,1.440000057220459,67.29000091552734,12.729999542236328,6.423999786376953,40.619998931884766,97.75347900390625,17.36011505126953,13.510000228881836,40.689998626708984,58.97630310058594,15.315333366394043
2017-01-12,30.62976837158203,24.280000686645508,57.77000045776367,16.90250015258789,1.3600000143051147,66.7699966430664,12.470000267028809,6.369999885559082,40.90999984741211,97.01802825927734,17.188796997070312,13.430000305175781,40.130001068115234,59.11430358886719,15.305999755859375
2017-01-13,31.071142196655273,25.229999542236328,58.43000030517578,21.282499313354492,1.5399999618530273,66.98999786376953,12.520000457763672,6.458000183105469,37.9900016784668,99.1436538696289,17.322046279907227,13.470000267028809,43.54999923706055,60.0986213684082,15.850000381469727
2017-01-17,30.620574951171875,24.81999969482422,58.9900016784668,21.372499465942383,1.649999976158142,66.66000366210938,12.770000457763672,6.340000152587891,37.75,97.85211181640625,17.02699851989746,13.180000305175781,43.5,59.04069900512695,15.70533275604248
2017-01-18,30.97919464111328,25.100000381469727,60.97999954223633,21.040000915527344,1.8899999856948853,66.48999786376953,12.899999618530273,6.369999885559082,37.86000061035156,99.7715072631836,17.303009033203125,13.260000228881836,43.61000061035156,58.22196960449219,15.890666961669922
2017-01-19,31.03435516357422,25.09000015258789,59.5,20.397499084472656,1.7799999713897705,65.69999694824219,12.600000381469727,6.46999979019165,38.36000061035156,99.41271209716797,17.569501876831055,13.109999656677246,43.04999923706055,57.86320877075195,16.250667572021484
2017-01-20,31.11712074279785,24.850000381469727,59.68000030517578,20.052499771118164,1.850000023841858,65.4800033569336,12.40999984741211,6.464000225067139,38.599998474121094,100.76703643798828,17.19831657409668,13.399999618530273,42.11000061035156,58.553138732910156,16.315332412719727
2017-01-23,31.03435516357422,24.809999465942383,59.720001220703125,19.9950008392334,1.7000000476837158,64.48999786376953,12.649999618530273,6.438000202178955,38.689998626708984,101.14374542236328,17.350597381591797,13.5,41.40999984741211,58.50714111328125,16.594667434692383
2017-01-24,31.291833877563477,25.18000030517578,60.619998931884766,19.9375,1.659999966621399,66.18000030517578,12.970000267028809,6.5320000648498535,40.04999923706055,102.8209457397461,17.350597381591797,13.619999885559082,41.41999816894531,64.13709259033203,16.974000930786133
2017-01-25,31.65045166015625,25.110000610351562,60.72999954223633,20.225000381469727,1.7100000381469727,66.94999694824219,12.819999694824219,6.561999797821045,40.45000076293945,104.86589050292969,17.379150390625,13.899999618530273,41.84000015258789,64.25665283203125,16.96466636657715
2017-01-26,31.245861053466797,24.8799991607666,60.59000015258789,19.8799991607666,1.6399999856948853,65.75,13.0,6.513999938964844,40.689998626708984,102.54292297363281,16.922306060791016,13.859999656677246,41.290000915527344,62.91358184814453,16.833999633789062
2017-01-27,32.220577239990234,24.829999923706055,58.70000076293945,19.8700008392334,1.600000023841858,65.76000213623047,12.930000305175781,6.556000232696533,40.310001373291016,106.04979705810547,16.655813217163086,13.880000114440918,41.63999938964844,62.683597564697266,16.863332748413086
2017-01-30,31.576894760131836,24.889999389648438,57.34000015258789,19.637500762939453,1.4900000095367432,64.31999969482422,12.75,6.561999797821045,39.880001068115234,104.04075622558594,16.617740631103516,13.75,41.4900016784668,62.278846740722656,16.708667755126953
2017-01-31,31.4941349029541,24.979999542236328,57.599998474121094,19.787500381469727,1.4900000095367432,64.36000061035156,12.609999656677246,6.6519999504089355,40.2599983215332,103.01827239990234,16.53208351135254,13.319999694824219,41.599998474121094,62.13164520263672,16.795333862304688
2017-02-01,32.21137619018555,25.1299991607666,56.849998474121094,19.860000610351562,1.5099999904632568,64.73999786376953,12.460000038146973,6.619999885559082,40.25,105.60135650634766,15.723087310791016,13.699999809265137,41.790000915527344,61.5888786315918,16.615999221801758
2017-02-02,32.12861633300781,25.719999313354492,55.540000915527344,19.889999389648438,1.4700000286102295,64.0,12.699999809265137,6.636000156402588,40.220001220703125,105.14393615722656,16.179931640625,13.6899995803833,42.11000061035156,61.634891510009766,16.770000457763672
2017-02-03,32.46884536743164,26.270000457763672,46.619998931884766,20.344999313354492,1.4299999475479126,65.5999984741211,12.640000343322754,7.544000148773193,40.599998474121094,105.5206527709961,16.655813217163086,13.9399995803833,42.7599983215332,62.74798583984375,16.755332946777344
2017-02-06,32.34930419921875,26.920000076293945,46.220001220703125,19.917499542236328,1.4199999570846558,64.80999755859375,12.34000015258789,7.565999984741211,40.54999923706055,105.08116912841797,16.750988006591797,13.869999885559082,42.29999923706055,63.18955993652344,17.184667587280273
2017-02-07,32.68033981323242,26.809999465942383,44.9900016784668,19.950000762939453,1.4500000476837158,65.83999633789062,12.430000305175781,7.552000045776367,41.290000915527344,104.93763732910156,16.693883895874023,13.960000038146973,43.029998779296875,63.716461181640625,17.165332794189453
2017-02-08,32.73550033569336,26.540000915527344,49.029998779296875,19.809999465942383,1.5399999618530273,64.95999908447266,12.5,7.484000205993652,40.790000915527344,103.9241714477539,17.017480850219727,14.010000228881836,42.22999954223633,64.11390686035156,17.472000122070312
2017-02-09,32.56079864501953,26.889999389648438,52.279998779296875,19.844999313354492,1.559999942779541,65.88999938964844,12.5,7.5980000495910645,41.790000915527344,104.04075622558594,17.036516189575195,13.960000038146973,42.29999923706055,64.52064514160156,17.946666717529297
